grid,area,logArea,logWV,perWV,WVclass,richness_2,richness_3,richness_4,count_2,count_3,count_4,MaxTrophicPosition,MeanTrophicLevel,biomass_2,biomass_3,biomass_4,TotalRichness,TotalAbundance,trophicRichness,shannonRichnessTroph,shannonAbundanceTroph,PropRich_2,PropRich_3,PropRich_4,PropAbund_2,PropAbund_3,PropAbund_4,Herbivore_present,Omnivore_present,Carnivore_present
144,0.79,3.1538053360790355,1.84799690655495,32.91139240506329,Medium,3,5,2,7,13,3,3.8,2.8260869565217392,10869.14,5245.28,1471.74,10,23,3,1.0296530140645737,0.9502094526077802,0.3,0.5,0.2,0.30434782608695654,0.5652173913043478,0.13043478260869565,1,1,1
145,0.061,0.6870606883398922,0.6870606883398922,100,High,0,2,1,0,2,1,3.7,3.3333333333333335,0,1397,91.4,3,3,2,0.6365141682948128,0.6365141682948128,0,0.6666666666666666,0.3333333333333333,0,0.6666666666666666,0.3333333333333333,0,1,1
170,2.436,4.664482840364682,3.0669502439246266,30.295566502463057,Medium,0,3,3,0,9,5,4,3.357142857142857,0,7359,4537.5,6,14,2,0.6931471805599453,0.6517565611726531,0,0.5,0.5,0,0.6428571428571429,0.35714285714285715,0,1,1
78,1.92,4.336283387864432,1.963474123974886,15.104166666666666,Low,3,6,4,14,9,8,4,2.806451612903226,10382.01,4078.9,4224.56,13,31,3,1.0579054247036734,1.0676208772568145,0.23076923076923078,0.46153846153846156,0.3076923076923077,0.45161290322580644,0.2903225806451613,0.25806451612903225,1,1,1
146,6.022,5.935931139752267,5.760753208062987,88.37595483228164,High,3,8,4,222,23,37,3.8,2.3439716312056738,162705.25,13898.8,21197.26,15,282,3,1.009613758174038,0.6592307996265788,0.2,0.5333333333333333,0.26666666666666666,0.7872340425531915,0.08156028368794327,0.13120567375886524,1,1,1
412,1.73,4.19377174339668,2.74416109557041,32.947976878612714,Medium,2,7,2,12,17,2,3.8,2.6774193548387095,10416.1,3823.73,550.23,11,31,3,0.9075352941050093,0.8736710429518698,0.18181818181818182,0.6363636363636364,0.18181818181818182,0.3870967741935484,0.5483870967741935,0.06451612903225806,1,1,1
421,1.865,4.296457407371244,3.439623137557117,52.81501340482574,Medium,3,7,3,87,45,31,4,2.6564417177914113,86675.89,37913.17,13308.16,13,163,3,1.0100997593541636,1.0060973069315924,0.23076923076923078,0.5384615384615384,0.23076923076923078,0.5337423312883436,0.27607361963190186,0.1901840490797546,1,1,1
429,1.71,4.177917792195843,4.177917792195843,100,High,1,5,4,4,19,4,4,3,2078.44,4480.4,2041.71,10,27,3,0.9433483923290392,0.8130703662590886,0.1,0.5,0.4,0.14814814814814814,0.7037037037037037,0.14814814814814814,1,1,1
382,1.17,3.6667565918848033,3.4724877714627436,86.32478632478633,High,0,4,0,0,10,0,3.4000000000000004,3,0,2220.64,0,4,10,1,0,0,0,1,0,0,1,0,0,1,0
423,0.169,1.4276061727818996,1.4276061727818996,100,High,1,3,4,2,4,27,3.8,3.757575757575758,1999.92,835.0699999999999,11684.56,8,33,3,0.9743147528693494,0.5898691618387124,0.125,0.375,0.5,0.06060606060606061,0.12121212121212122,0.8181818181818182,1,1,1
163,2.9,4.906890595608519,2.765534746362977,20,Low,0,4,3,0,6,6,3.7,3.5,0,2249,2814.3,7,12,2,0.6829081047004717,0.6931471805599453,0,0.5714285714285714,0.42857142857142855,0,0.5,0.5,0,1,1
194,2.928,4.920293300211007,4.3348542693316325,65.50546448087432,Medium,2,4,6,16,12,15,4,2.9767441860465116,12127.81,4016,8600.37,12,43,3,1.0114042647073518,1.0914082001162215,0.16666666666666666,0.3333333333333333,0.5,0.37209302325581395,0.27906976744186046,0.3488372093023256,1,1,1
219,0.94,3.3785116232537296,1.5360529002402097,20.21276595744681,Low,0,6,4,0,23,11,3.8,3.323529411764706,0,8974.64,5443.37,10,34,2,0.6730116670092565,0.6295012608763815,0,0.6,0.4,0,0.6764705882352942,0.3235294117647059,0,1,1
291,0.418,2.372952097911829,1.1890338243900171,30.62200956937799,Medium,2,2,3,80,3,4,4,2.1264367816091956,108461.28,542,1429.03,7,87,3,1.0789922078775833,0.33483748550062487,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.9195402298850575,0.034482758620689655,0.04597701149425287,1,1,1
221,4.163,5.413797150189212,4.24260250592898,43.06990151333173,Medium,1,3,4,10,6,5,3.8,2.761904761904762,5196.1,3630.89,1528.97,8,21,3,0.9743147528693494,1.052922565938695,0.125,0.375,0.5,0.47619047619047616,0.2857142857142857,0.23809523809523808,1,1,1
201,5.34,5.765534746362977,4.990954860396993,57.67790262172285,Medium,6,9,5,63,88,11,4,2.6790123456790123,78346.31,52555.219999999994,6175.17,20,162,3,1.0670938948757507,0.8814236473463914,0.3,0.45,0.25,0.3888888888888889,0.5432098765432098,0.06790123456790123,1,1,1
280,0.872,3.2809563138310565,3.2809563138310565,100,High,0,3,1,0,8,1,3.7,3.111111111111111,0,2699,91.4,4,9,2,0.5623351446188083,0.34883209584303193,0,0.75,0.25,0,0.8888888888888888,0.1111111111111111,0,1,1
285,2.18,4.5109619192773796,3.321928094887362,41.28440366972477,Medium,2,6,2,6,14,4,4,2.9166666666666665,3626.2,5413.53,1372.4,10,24,3,0.9502705392332347,0.9596147939120492,0.2,0.6,0.2,0.25,0.5833333333333334,0.16666666666666666,1,1,1
198,3.44,5.145677455195635,3.733354340613827,35.75581395348838,Medium,3,6,5,9,16,16,4,3.1707317073170733,6682.46,4724.02,8116.45,14,41,3,1.060944240790747,1.067282790906772,0.21428571428571427,0.42857142857142855,0.35714285714285715,0.21951219512195122,0.3902439024390244,0.3902439024390244,1,1,1
306,34.807,8.447372562961556,3.33199177823206,2.605797684373833,Low,3,3,5,146,33,12,4,2.298429319371728,83495.40000000001,13146.94,7915.81,11,191,3,1.0670895187820832,0.6825865374954938,0.2727272727272727,0.2727272727272727,0.45454545454545453,0.7643979057591623,0.17277486910994763,0.06282722513089005,1,1,1
105,2.9499999999999997,4.930737337562886,0.5849625007211562,1.6949152542372885,Low,0,4,1,0,7,3,3.7,3.3,0,2335,604.5,5,10,2,0.5004024235381879,0.6108643020548935,0,0.8,0.2,0,0.7,0.3,0,1,1
129,3.364,5.114367024952,1.9411063109464315,8.442330558858501,Low,2,5,7,13,9,16,4,3.0789473684210527,11558.43,3908.82,22309.75,14,38,3,0.9922819748525739,1.0723024123879001,0.14285714285714285,0.35714285714285715,0.5,0.34210526315789475,0.23684210526315788,0.42105263157894735,1,1,1
181,7.798,6.303415462685624,3.835924074254375,17.030007694280584,Low,0,6,2,0,26,2,3.7,3.0714285714285716,0,6154.84,1155.88,8,28,2,0.5623351446188083,0.25731864054383163,0,0.75,0.25,0,0.9285714285714286,0.07142857142857142,0,1,1
