grid,richness,count,species_richness_3,species_richness_4,species_richness_2,count_3,count_4,count_2,MeanTrophicLevel,MaxTrophicPosition,FRic,FEve,FDiv,shannonDiv,pielouEven,richnessRes,richnessMig,countRes,countMig,totalBiomass,biomass3,biomass4,biomass2
160,10,29,3,4,3,15,8,6,2.9310344827586206,4,90.61660046367933,0.6915730798506923,0.8867595258810675,1.9816188849125536,0.860606146952797,10,0,29,0,12735.03,5223.58,3032.62,4478.83
162,14,73,6,4,4,8,47,18,3.317808219178082,4,103.92433267190145,0.6429676180348601,0.8795388228373562,1.9633292877394355,0.7439509804152926,14,0,73,0,52626.15,1963.08,39771.4,10891.67
163,7,12,4,3,0,6,6,0,3.358333333333333,3.6999999999999997,28.186444535797502,0.8291356661638853,0.7104388784917707,1.8200759753606213,0.9353340267248305,7,0,12,0,5063.3,2249,2814.3,0
165,5,112,3,1,1,98,12,2,3.1392857142857147,3.5999999999999996,11.490695904848572,0.43164130743245055,0.790924743719882,0.5648401818152091,0.3509549374047922,5,0,112,0,125159.76,107976,15636,1547.76
170,6,14,3,3,0,9,5,0,3.307142857142857,4,35.175602840746095,0.5784042153159066,0.6231316720056749,1.59342423717389,0.889306999371063,6,0,14,0,11896.5,7359,4537.5,0
181,8,28,6,2,0,26,2,0,3.146428571428572,3.6999999999999997,42.02521983762391,0.6723418551257754,0.7745782381301759,1.3953097802752117,0.6710021668356391,8,0,28,0,7310.72,6154.84,1155.88,0
187,10,17,6,3,1,10,4,3,3.047058823529412,4,95.4365682150278,0.818605593172755,0.8302295677915792,2.1700483464601645,0.9424400223309254,10,0,17,0,5341.11,2627.71,2248.4,465
194,12,43,4,6,2,12,15,16,3.1209302325581394,4,95.76745861017505,0.6760684171305122,0.8799216361818086,2.1013884761496913,0.8456609331094876,12,0,43,0,24744.18,4016,8600.37,12127.810000000001
198,14,41,6,5,3,16,16,9,3.1463414634146343,4,109.12161286413665,0.7315446880601286,0.8023501223345548,2.2717547142372965,0.8608205243379423,13,1,37,4,19522.93,4724.02,8116.45,6682.46
2,14,415,6,4,4,81,31,303,2.701686746987952,4,110.93192834215641,0.6180008349926176,0.9354195922846393,1.3515402893668114,0.5121299466290294,11,3,370,45,290288.8,30656.84,36160.85,223471.11
201,20,162,9,5,6,88,11,63,2.629012345679012,4,107.54579121922251,0.6445807518567889,0.6107275436971435,2.1965320277187432,0.7332204039424673,20,0,162,0,137076.69999999998,52555.219999999994,6175.17,78346.31
211,8,13,4,2,2,9,2,2,2.9692307692307693,3.6999999999999997,52.87142501312024,0.8267217175791629,0.7379852704615815,1.9251211907908181,0.9257875983547231,7,1,11,2,4211.47,1523.58,1394.4,1293.49
216,3,9,2,1,0,8,1,0,3.088888888888889,3.8000000000000003,2.9196802635533192,0.8195966918903488,0.5259500402022831,0.936888307539016,0.8527924884900404,3,0,9,0,1885.9299999999998,1427.1,458.83,0
219,10,34,6,4,0,23,11,0,3.420588235294118,3.8000000000000003,27.04711220585992,0.6913098349313761,0.8148078384486271,1.8846348015237164,0.8184864947045802,10,0,34,0,14418.01,8974.64,5443.37,0
221,8,21,3,4,1,6,5,10,2.6666666666666665,3.8000000000000003,62.43850610664417,0.7955101526442718,0.9363749828444271,1.659080698762253,0.7978491655129663,8,0,21,0,10355.960000000001,3630.89,1528.97,5196.1
225,8,21,5,3,0,15,6,0,3.2523809523809524,4,36.63304428900031,0.7325938660904909,0.7626033503422828,1.8064369716430835,0.8687125535559846,8,0,21,0,10980.3,5726.64,5253.66,0
23,14,21,8,4,2,10,9,2,3.2523809523809524,3.8000000000000003,81.53612533020393,0.7932364950115163,0.7744330454700724,2.4914937218794386,0.9440847282550953,13,1,20,1,11196.12,3639.09,6628.1500000000005,928.88
237,6,12,3,3,0,5,7,0,3.3833333333333333,3.6999999999999997,19.197674023871432,0.7999636431194348,0.5861473715886142,1.5832584594204766,0.8836333707797247,6,0,12,0,6340.04,895.64,5444.4,0
238,10,18,6,3,1,14,3,1,2.9833333333333334,4,85.86479266238803,0.7597930001454853,0.828346302669757,2.058223904131167,0.8938752840855334,10,0,18,0,5316.48,4247.38,549.49,519.61
245,9,94,4,3,2,25,3,66,2.321276595744681,3.6999999999999997,52.37304129219051,0.4437541351700491,0.7847544120574054,1.245521851146045,0.5668614232670014,9,0,94,0,46800.61,5195.29,2027.21,39578.11
251,12,53,6,4,2,29,16,8,3.1849056603773587,3.8000000000000003,76.46898099441647,0.6494171227819533,0.715327729599789,2.1426807830456784,0.8622781798376535,11,1,52,1,68187.51,35583.25,26921.76,5682.5
252,20,196,10,8,2,102,81,13,3.3382653061224494,4,101.5325383634682,0.4875992977211944,0.7525124682035245,2.1104822456469776,0.7044962810188656,18,2,189,7,317605.68,115021.04,193143.08,9441.56
262,11,23,6,4,1,16,5,2,3.082608695652174,4,109.07615861302514,0.8211162218874982,0.536391856261121,2.0346160141680394,0.8485007820185657,10,1,21,2,8759.85,4008.49,3712.14,1039.22
263,7,26,2,3,2,2,7,17,2.7807692307692307,3.6999999999999997,52.87142501312024,0.651163429887345,0.864218424857747,1.4922019641062125,0.7668401158350688,6,1,25,1,17437.78,347.29,5205.88,11884.61
271,15,59,6,7,2,43,10,6,3.1389830508474574,3.8000000000000003,94.00779264302366,0.680303729458399,0.5546601617584763,2.008753359417393,0.7417710936820173,14,1,58,1,52900.85,33751.99,9929.02,9219.84
277,26,384,12,8,6,146,16,222,2.4458333333333333,4,112.44800004447437,0.6049223898143699,0.7094376306016333,2.0989780280509014,0.6442344490275695,21,5,371,13,294018.63,72835.75,10976.46,210206.42
28,18,136,7,8,3,22,14,100,2.388235294117647,4,107.47201240898116,0.7475183281254342,0.6703899544449424,1.4988252397724855,0.5185579452462704,18,0,136,0,77027.78,13598.89,7089.07,56339.82
280,4,9,3,1,0,8,1,0,3.177777777777778,3.6999999999999997,11.917810460021814,0.7217625821294424,0.9073351260719893,1.2148896539491203,0.8763576394898523,4,0,9,0,2790.4,2699,91.4,0
285,10,24,6,2,2,14,4,6,2.966666666666667,4,82.21248303724602,0.757672900412717,0.795604344293675,2.127805078707373,0.9240940042483264,10,0,24,0,10412.13,5413.53,1372.4,3626.2
291,7,87,2,3,2,3,4,80,2.2275862068965515,4,64.05577604780034,0.6208348385105923,0.9182242867619237,1.0234508067533217,0.5259496730875161,7,0,87,0,110432.31,542,1429.03,108461.28
292,3,5,3,0,0,5,0,0,3.0200000000000005,3.3000000000000003,0.09406362146503061,0.8955348683439865,0.46263195514505284,0.9502705392332347,0.8649735207179272,3,0,5,0,1939,1939,0,0
293,8,16,5,2,1,7,2,7,2.66875,3.8000000000000003,56.14569200187142,0.782059388316997,0.7946346023737509,1.715263227902811,0.8248672509048606,7,1,15,1,6358.34,2177.87,543.2,3637.27
294,5,18,4,1,0,14,4,0,3.1500000000000004,3.5999999999999996,2.859080088540643,0.8473241239691799,0.6367783790745974,1.5999714209268676,0.9941181381188444,5,0,18,0,10831.28,5619.28,5212,0
300,6,16,2,2,2,8,3,5,3.0375,4,91.01982624246617,0.7382903781332018,0.7951379148855754,1.6843729712135973,0.9400664543100068,6,0,16,0,4766.16,1808,945.4,2012.76
306,11,191,3,5,3,33,12,146,2.3078534031413613,4,72.20960255830221,0.6593579126303776,0.8723236961069328,1.1014929081023894,0.45935822160278705,11,0,191,0,104558.15000000001,13146.94,7915.8099999999995,83495.40000000001
319,25,321,11,9,5,116,33,172,2.588785046728972,4,115.26391039424531,0.4907959595652944,0.7090113633073968,2.3059232244118717,0.7163753278697197,21,4,261,60,339902.51,190071.01,46500.99,103330.51
320,1,1,1,0,0,1,0,0,3,3,NA,NA,NA,0,NA,1,0,1,0,181,181,0,0
332,6,8,5,1,0,7,1,0,3.2375000000000003,3.6999999999999997,14.413185636878707,0.8785068084297731,0.7110482959921389,1.732867951399863,0.9671320180863539,6,0,8,0,3627.22,3535.82,91.4,0
333,5,6,3,2,0,4,2,0,3.283333333333333,3.6999999999999997,11.33970598200066,0.8550547133172129,0.7924176603092062,1.5607104090414063,0.9697238998682473,5,0,6,0,2258.22,863.8199999999999,1394.4,0
349,13,75,8,3,2,21,8,46,2.492,3.6999999999999997,55.13539348854106,0.678233569234368,0.7998693489935704,1.5652427976029992,0.6102431586220787,12,1,74,1,40663,6798.4400000000005,9453.96,24410.6
364,9,125,5,2,2,8,2,115,2.1656,4,100.11794632825227,0.5514206564061305,0.6280412778771274,0.9003141901350337,0.4097506460748402,9,0,125,0,115694.75,3161.45,518.4,112014.9
366,11,50,6,2,3,19,4,27,2.512,4,64.81919692178823,0.6173160497344443,0.7807839783652573,1.922373435342122,0.8016919909511688,11,0,50,0,29234.23,6455.740000000001,1036.8,21741.69
367,1,1,1,0,0,1,0,0,3,3,NA,NA,NA,0,NA,1,0,1,0,181,181,0,0
373,5,7,4,1,0,6,1,0,3.142857142857143,3.6999999999999997,23.222638492771214,0.8261990981902868,0.5772157708906217,1.4750763110546947,0.9165164431996023,5,0,7,0,2283.4,2192,91.4,0
382,4,10,4,0,0,10,0,0,3.12,3.4000000000000004,1.8738782242914231,0.722596020916721,0.7200112192222412,1.2798542258336676,0.9232196723355078,4,0,10,0,2220.64,2220.64,0,0
41,16,49,6,8,2,14,25,10,3.2346938775510203,4,94.51984117926665,0.7084298015310186,0.8372892870617464,2.6115704751430866,0.9419249433552412,16,0,49,0,32703.43,7335.26,19154.99,6213.18
412,11,31,7,2,2,17,2,12,2.693548387096774,3.8000000000000003,64.23981013897271,0.6966107930397025,0.8072432980683264,2.031391453738436,0.8471560358713162,10,1,30,1,14790.06,3823.73,550.23,10416.1
421,13,163,7,3,3,45,31,87,2.7030674846625766,4,98.67463851454343,0.7716309944300367,0.794992667533176,2.0002642899293726,0.7798455295464319,13,0,163,0,137897.22,37913.17,13308.16,86675.89
423,8,33,3,4,1,4,27,2,3.6090909090909093,3.8000000000000003,46.538279740614556,0.7110755662346767,0.6911589873699991,1.185136347838295,0.5699301106011887,8,0,33,0,14519.550000000001,835.0699999999999,11684.56,1999.92
429,10,27,5,4,1,19,4,4,3.062962962962963,4,66.97666707477356,0.6873097119075442,0.5542749560900608,1.888262336459499,0.8200619131101018,10,0,27,0,8600.55,4480.4,2041.71,2078.44
49,28,245,14,9,5,107,53,85,2.8665306122448984,4,114.08828765061732,0.6462552545715482,0.845682312467935,2.7018387645819266,0.8108262131965804,25,3,210,35,130903.39,48881.22,33566.69,48455.48
56,13,26,6,6,1,17,8,1,3.173076923076923,4,94.08480991320958,0.7262106325767244,0.834019489351546,2.287520612017218,0.8918385095451231,13,0,26,0,10821.32,6514.69,3532.75,773.88
6,7,23,3,2,2,9,6,8,3.108695652173913,4,96.12499647202469,0.805198370527278,0.7855981318259586,1.7875020844913667,0.9185943582025874,7,0,23,0,10187.76,2035,3199.48,4953.28
71,20,70,9,9,2,30,23,17,3.192857142857143,4,106.60184916315603,0.7391288973452996,0.8431756247376352,2.6143233445180316,0.8726825716693721,16,4,65,5,37845.06,9607.99,15699.99,12537.08
78,13,31,6,4,3,9,8,14,2.803225806451613,4,96.32845986615683,0.7615188137296584,0.8146873694841053,2.2594532196637056,0.880895840337303,13,0,31,0,18685.47,4078.9,4224.56,10382.01
85,21,362,13,5,3,296,50,16,3.05,4,106.16737903855271,0.548562297593895,0.6415715220600448,2.2587512847339375,0.7419065981405428,13,8,212,150,264631.46,128078.71,123867.25,12685.5
88,9,18,5,4,0,13,5,0,3.316666666666667,3.8000000000000003,28.42929331329684,0.829496229610302,0.6887954840064033,2.0620695413001644,0.9384882922619094,8,1,15,3,8534.710000000001,5173.28,3361.4300000000003,0
89,12,30,4,6,2,8,17,5,3.2866666666666666,4,90.88076472765141,0.7412436230295819,0.874455394993761,2.1366876873732066,0.8598663807171582,12,0,30,0,19956.120000000003,1577.46,16984.780000000002,1393.88
91,17,63,9,6,2,35,13,15,3.0253968253968253,4,109.36367180936946,0.7169799333222487,0.7779249703513733,2.3548643094306834,0.8311637788841215,16,1,48,15,64928.67,17520.96,10093.83,37313.88
94,11,60,5,2,4,19,5,36,2.558333333333333,3.6999999999999997,56.35996024914459,0.6635101129034395,0.7317556209616137,2.125611373845656,0.8864487944734315,10,1,59,1,38008.04,5300.4,4742.950000000001,27964.690000000002
98,20,62,8,8,4,35,18,9,3.138709677419355,4,106.54250276349897,0.7925906506072082,0.7409874045457916,2.674454297018647,0.892754776729699,20,0,62,0,55202.29,13289.67,33894.91,8017.71
99,11,49,5,5,1,16,30,3,3.573469387755102,4,74.9412831352164,0.6502130535868068,0.9186952195305722,1.7024515415228894,0.7099774376451851,10,1,26,23,65127.92,4058.52,60604.399999999994,465
