grid,area,logArea,logWV,perWV,WVclass,count_2,count_3,count_4,MaxTrophicPosition,MeanTrophicLevel,biomass_2,biomass_3,biomass_4,trophLevel,richness
293,1.08,3.560714954474479,1.84799690655495,24.074074074074073,0,2,101,18,3.9,3.274380165289256,5220,56358.3,39356.10999999999,richness_2,1
293,1.08,3.560714954474479,1.84799690655495,24.074074074074073,0,2,101,18,3.9,3.274380165289256,5220,56358.3,39356.10999999999,richness_3,11
293,1.08,3.560714954474479,1.84799690655495,24.074074074074073,0,2,101,18,3.9,3.274380165289256,5220,56358.3,39356.10999999999,richness_4,4
294,0.44,2.4329594072761065,1.632268215499513,47.72727272727273,1,0,61,14,4,3.256,0,9006.01,7868.66,richness_2,0
294,0.44,2.4329594072761065,1.632268215499513,47.72727272727273,1,0,61,14,4,3.256,0,9006.01,7868.66,richness_3,11
294,0.44,2.4329594072761065,1.632268215499513,47.72727272727273,1,0,61,14,4,3.256,0,9006.01,7868.66,richness_4,6
225,2.576,4.7420062108667365,2.7570232465074596,22.360248447204967,0,0,22,0,3.2,2.9681818181818187,0,11518.03,0,richness_2,0
225,2.576,4.7420062108667365,2.7570232465074596,22.360248447204967,0,0,22,0,3.2,2.9681818181818187,0,11518.03,0,richness_3,5
225,2.576,4.7420062108667365,2.7570232465074596,22.360248447204967,0,0,22,0,3.2,2.9681818181818187,0,11518.03,0,richness_4,0
252,8.43,6.414473836430928,5.3750394313469245,48.04270462633452,1,46,124,70,4,3.130833333333334,37523.35,65544.7,128975.41,richness_2,7
252,8.43,6.414473836430928,5.3750394313469245,48.04270462633452,1,46,124,70,4,3.130833333333334,37523.35,65544.7,128975.41,richness_3,14
252,8.43,6.414473836430928,5.3750394313469245,48.04270462633452,1,46,124,70,4,3.130833333333334,37523.35,65544.7,128975.41,richness_4,8
300,9.825,6.632995197142958,4.725741156503952,25.91348600508906,0,35,122,24,4,2.7988950276243094,69316.56,82958.76,9987.12,richness_2,2
300,9.825,6.632995197142958,4.725741156503952,25.91348600508906,0,35,122,24,4,2.7988950276243094,69316.56,82958.76,9987.12,richness_3,2
300,9.825,6.632995197142958,4.725741156503952,25.91348600508906,0,35,122,24,4,2.7988950276243094,69316.56,82958.76,9987.12,richness_4,2
251,11.721,6.885208275545383,4.926948247949772,25.100247419162187,0,58,56,1,3.7,2.3547826086956523,49610.44,39781.23,91.4,richness_2,2
251,11.721,6.885208275545383,4.926948247949772,25.100247419162187,0,58,56,1,3.7,2.3547826086956523,49610.44,39781.23,91.4,richness_3,2
251,11.721,6.885208275545383,4.926948247949772,25.100247419162187,0,58,56,1,3.7,2.3547826086956523,49610.44,39781.23,91.4,richness_4,1
263,0.01,0.13750352374993502,0.13750352374993502,100,2,1,2,10,3.7,3.5307692307692307,773.88,506,8354.48,richness_2,1
263,0.01,0.13750352374993502,0.13750352374993502,100,2,1,2,10,3.7,3.5307692307692307,773.88,506,8354.48,richness_3,1
263,0.01,0.13750352374993502,0.13750352374993502,100,2,1,2,10,3.7,3.5307692307692307,773.88,506,8354.48,richness_4,2
211,0.62,2.84799690655495,1.263034405833794,22.580645161290324,0,2,14,6,3.8,3.1454545454545455,1547.76,3209.26,1568.08,richness_2,1
211,0.62,2.84799690655495,1.263034405833794,22.580645161290324,0,2,14,6,3.8,3.1454545454545455,1547.76,3209.26,1568.08,richness_3,4
211,0.62,2.84799690655495,1.263034405833794,22.580645161290324,0,2,14,6,3.8,3.1454545454545455,1547.76,3209.26,1568.08,richness_4,3
237,0.13,1.2016338611696504,1,76.92307692307693,2,0,25,2,3.8,3.085185185185185,0,4447.92,550.23,richness_2,0
237,0.13,1.2016338611696504,1,76.92307692307693,2,0,25,2,3.8,3.085185185185185,0,4447.92,550.23,richness_3,5
237,0.13,1.2016338611696504,1,76.92307692307693,2,0,25,2,3.8,3.085185185185185,0,4447.92,550.23,richness_4,2
238,4.162,5.413458688007979,2.5897634869849773,12.061508889956752,0,0,10,5,3.8,3.26,0,2955.5,4467.9400000000005,richness_2,0
238,4.162,5.413458688007979,2.5897634869849773,12.061508889956752,0,0,10,5,3.8,3.26,0,2955.5,4467.9400000000005,richness_3,6
238,4.162,5.413458688007979,2.5897634869849773,12.061508889956752,0,0,10,5,3.8,3.26,0,2955.5,4467.9400000000005,richness_4,4
262,3.004,4.956056652412403,2.895302621333306,21.438082556591212,0,0,21,1,3.8,3.059090909090909,0,3664.76,84.37,richness_2,0
262,3.004,4.956056652412403,2.895302621333306,21.438082556591212,0,0,21,1,3.8,3.059090909090909,0,3664.76,84.37,richness_3,4
262,3.004,4.956056652412403,2.895302621333306,21.438082556591212,0,0,21,1,3.8,3.059090909090909,0,3664.76,84.37,richness_4,1
160,2.3600000000000003,4.620586410451877,3.1043366598147357,32.20338983050847,1,59,50,3,4,2.511607142857143,125927.52,17718.81,1761.09,richness_2,4
160,2.3600000000000003,4.620586410451877,3.1043366598147357,32.20338983050847,1,59,50,3,4,2.511607142857143,125927.52,17718.81,1761.09,richness_3,6
160,2.3600000000000003,4.620586410451877,3.1043366598147357,32.20338983050847,1,59,50,3,4,2.511607142857143,125927.52,17718.81,1761.09,richness_4,3
162,2.31,4.590961241342599,4.554588851677638,97.4025974025974,2,4,17,4,4,3.08,620,6192.29,3253.31,richness_2,1
162,2.31,4.590961241342599,4.554588851677638,97.4025974025974,2,4,17,4,4,3.08,620,6192.29,3253.31,richness_3,7
162,2.31,4.590961241342599,4.554588851677638,97.4025974025974,2,4,17,4,4,3.08,620,6192.29,3253.31,richness_4,4
187,1.5399999999999998,4.035623909730721,2.350497247084133,26.623376623376625,0,1,13,2,4,2.84375,2610,3767.1,854,richness_2,1
187,1.5399999999999998,4.035623909730721,2.350497247084133,26.623376623376625,0,1,13,2,4,2.84375,2610,3767.1,854,richness_3,4
187,1.5399999999999998,4.035623909730721,2.350497247084133,26.623376623376625,0,1,13,2,4,2.84375,2610,3767.1,854,richness_4,1
216,0.6599999999999999,2.925999418556223,2.2016338611696504,54.545454545454554,1,0,5,1,3.7,3.25,0,711,91.4,richness_2,0
216,0.6599999999999999,2.925999418556223,2.2016338611696504,54.545454545454554,1,0,5,1,3.7,3.25,0,711,91.4,richness_3,3
216,0.6599999999999999,2.925999418556223,2.2016338611696504,54.545454545454554,1,0,5,1,3.7,3.25,0,711,91.4,richness_4,1
333,1.969,4.370861740085284,2.1473066987802936,17.420010157440327,0,0,9,4,4,3.353846153846154,0,2722.43,2041.71,richness_2,0
333,1.969,4.370861740085284,2.1473066987802936,17.420010157440327,0,0,9,4,4,3.353846153846154,0,2722.43,2041.71,richness_3,6
333,1.969,4.370861740085284,2.1473066987802936,17.420010157440327,0,0,9,4,4,3.353846153846154,0,2722.43,2041.71,richness_4,4
349,1.25,3.7548875021634687,2.6322682154995127,41.6,1,4,116,2,3.8,2.849180327868853,6767.76,56028.96,550.23,richness_2,2
349,1.25,3.7548875021634687,2.6322682154995127,41.6,1,4,116,2,3.8,2.849180327868853,6767.76,56028.96,550.23,richness_3,11
349,1.25,3.7548875021634687,2.6322682154995127,41.6,1,4,116,2,3.8,2.849180327868853,6767.76,56028.96,550.23,richness_4,2
364,1.72,4.185866545311334,1.7224660244710912,13.372093023255816,0,7,11,0,3.3000000000000003,2.7333333333333334,6999.72,3657.82,0,richness_2,1
364,1.72,4.185866545311334,1.7224660244710912,13.372093023255816,0,7,11,0,3.3000000000000003,2.7333333333333334,6999.72,3657.82,0,richness_3,4
364,1.72,4.185866545311334,1.7224660244710912,13.372093023255816,0,7,11,0,3.3000000000000003,2.7333333333333334,6999.72,3657.82,0,richness_4,0
373,0.05,0.5849625007211562,0,0,0,0,69,0,3.3000000000000003,2.989855072463768,0,12340.25,0,richness_2,0
373,0.05,0.5849625007211562,0,0,0,0,69,0,3.3000000000000003,2.989855072463768,0,12340.25,0,richness_3,5
373,0.05,0.5849625007211562,0,0,0,0,69,0,3.3000000000000003,2.989855072463768,0,12340.25,0,richness_4,0
56,3.169,5.0307774719925415,3.085764553778314,23.63521615651625,0,0,34,13,4,3.2510638297872343,0,12820.49,6394.74,richness_2,0
56,3.169,5.0307774719925415,3.085764553778314,23.63521615651625,0,0,34,13,4,3.2510638297872343,0,12820.49,6394.74,richness_3,8
56,3.169,5.0307774719925415,3.085764553778314,23.63521615651625,0,0,34,13,4,3.2510638297872343,0,12820.49,6394.74,richness_4,6
94,4.3,5.459431618637297,4.882643049361842,66.27906976744187,1,99,239,7,3.8,2.831304347826087,213683.72,47421.77,2647.83,richness_2,3
94,4.3,5.459431618637297,4.882643049361842,66.27906976744187,1,99,239,7,3.8,2.831304347826087,213683.72,47421.77,2647.83,richness_3,7
94,4.3,5.459431618637297,4.882643049361842,66.27906976744187,1,99,239,7,3.8,2.831304347826087,213683.72,47421.77,2647.83,richness_4,5
95,3.75,5.266786540694901,5.259272487037594,99.46666666666668,2,2,15,8,4,3.3280000000000003,1547.76,6920.63,6593.32,richness_2,1
95,3.75,5.266786540694901,5.259272487037594,99.46666666666668,2,2,15,8,4,3.3280000000000003,1547.76,6920.63,6593.32,richness_3,6
95,3.75,5.266786540694901,5.259272487037594,99.46666666666668,2,2,15,8,4,3.3280000000000003,1547.76,6920.63,6593.32,richness_4,5
138,2.02,4.405992359675837,2.350497247084133,20.297029702970296,0,0,16,5,4,3.304761904761905,0,4195.28,1954.46,richness_2,0
138,2.02,4.405992359675837,2.350497247084133,20.297029702970296,0,0,16,5,4,3.304761904761905,0,4195.28,1954.46,richness_3,6
138,2.02,4.405992359675837,2.350497247084133,20.297029702970296,0,0,16,5,4,3.304761904761905,0,4195.28,1954.46,richness_4,4
142,1.061,3.5372960670908418,1.9448584458075389,26.861451460885956,0,0,8,2,4,3.2700000000000005,0,2154,458.09,richness_2,0
142,1.061,3.5372960670908418,1.9448584458075389,26.861451460885956,0,0,8,2,4,3.2700000000000005,0,2154,458.09,richness_3,5
142,1.061,3.5372960670908418,1.9448584458075389,26.861451460885956,0,0,8,2,4,3.2700000000000005,0,2154,458.09,richness_4,2
165,3.262,5.071247819461442,3.9457949567400608,44.17535254445126,1,0,24,1,3.5999999999999996,3.032,0,6272.46,1303,richness_2,0
165,3.262,5.071247819461442,3.9457949567400608,44.17535254445126,1,0,24,1,3.5999999999999996,3.032,0,6272.46,1303,richness_3,6
165,3.262,5.071247819461442,3.9457949567400608,44.17535254445126,1,0,24,1,3.5999999999999996,3.032,0,6272.46,1303,richness_4,1
98,4.277,5.451870478864323,3.708187236020709,28.22071545475801,0,30,17,13,4,2.7583333333333333,24740.8,3564.34,9065.1,richness_2,5
98,4.277,5.451870478864323,3.708187236020709,28.22071545475801,0,30,17,13,4,2.7583333333333333,24740.8,3564.34,9065.1,richness_3,6
98,4.277,5.451870478864323,3.708187236020709,28.22071545475801,0,30,17,13,4,2.7583333333333333,24740.8,3564.34,9065.1,richness_4,8
99,3.37,5.116863757690899,3.6241008946281146,33.62017804154303,1,1,12,5,4,3.238888888888889,155,3232.1,2414.52,richness_2,1
99,3.37,5.116863757690899,3.6241008946281146,33.62017804154303,1,1,12,5,4,3.238888888888889,155,3232.1,2414.52,richness_3,6
99,3.37,5.116863757690899,3.6241008946281146,33.62017804154303,1,1,12,5,4,3.238888888888889,155,3232.1,2414.52,richness_4,4
124,2.077,4.444269502413482,3.979110755015786,71.11218103033221,2,5,12,6,4,3.11304347826087,2012.76,3567,2562,richness_2,2
124,2.077,4.444269502413482,3.979110755015786,71.11218103033221,2,5,12,6,4,3.11304347826087,2012.76,3567,2562,richness_3,5
124,2.077,4.444269502413482,3.979110755015786,71.11218103033221,2,5,12,6,4,3.11304347826087,2012.76,3567,2562,richness_4,1
277,13.59,7.096978636370538,4.972692654004264,22.36938925680648,0,0,20,1,3.9,3.104761904761905,0,9025.63,2528.97,richness_2,0
277,13.59,7.096978636370538,4.972692654004264,22.36938925680648,0,0,20,1,3.9,3.104761904761905,0,9025.63,2528.97,richness_3,4
277,13.59,7.096978636370538,4.972692654004264,22.36938925680648,0,0,20,1,3.9,3.104761904761905,0,9025.63,2528.97,richness_4,1
319,22.2,7.800899899920305,6.126601235157297,31.02252252252252,1,8,14,10,4,3.028125,8575.78,11212.7,5940.62,richness_2,8
319,22.2,7.800899899920305,6.126601235157297,31.02252252252252,1,8,14,10,4,3.028125,8575.78,11212.7,5940.62,richness_3,14
319,22.2,7.800899899920305,6.126601235157297,31.02252252252252,1,8,14,10,4,3.028125,8575.78,11212.7,5940.62,richness_4,10
320,8.206,6.37608196665007,4.125981653854716,20.05849378503534,0,20,18,36,4,3.2513513513513512,13230.57,3382.15,43125.32,richness_2,3
320,8.206,6.37608196665007,4.125981653854716,20.05849378503534,0,20,18,36,4,3.2513513513513512,13230.57,3382.15,43125.32,richness_3,7
320,8.206,6.37608196665007,4.125981653854716,20.05849378503534,0,20,18,36,4,3.2513513513513512,13230.57,3382.15,43125.32,richness_4,8
366,1.7200000000000002,4.185866545311334,2.169925001442312,20.348837209302324,0,0,6,0,3.4000000000000004,3.0833333333333335,0,1154,0,richness_2,0
366,1.7200000000000002,4.185866545311334,2.169925001442312,20.348837209302324,0,0,6,0,3.4000000000000004,3.0833333333333335,0,1154,0,richness_3,5
366,1.7200000000000002,4.185866545311334,2.169925001442312,20.348837209302324,0,0,6,0,3.4000000000000004,3.0833333333333335,0,1154,0,richness_4,0
367,3.12,5.008988783227255,3.292781749227846,28.205128205128204,0,97,16,1,4,2.4061403508771932,181540.87,7870.36,427,richness_2,4
367,3.12,5.008988783227255,3.292781749227846,28.205128205128204,0,97,16,1,4,2.4061403508771932,181540.87,7870.36,427,richness_3,7
367,3.12,5.008988783227255,3.292781749227846,28.205128205128204,0,97,16,1,4,2.4061403508771932,181540.87,7870.36,427,richness_4,1
23,4.763999999999999,5.604071323668861,5.4705368650925825,90.97397145256087,2,22,38,15,4,3.0493333333333337,13532.76,15350.4,5654.25,richness_2,3
23,4.763999999999999,5.604071323668861,5.4705368650925825,90.97397145256087,2,22,38,15,4,3.0493333333333337,13532.76,15350.4,5654.25,richness_3,5
23,4.763999999999999,5.604071323668861,5.4705368650925825,90.97397145256087,2,22,38,15,4,3.0493333333333337,13532.76,15350.4,5654.25,richness_4,6
2,35.109,8.45980044237968,8.094816663098147,77.58409524623315,2,27,12,20,4,2.979661016949153,14598.6,3064.26,14588.6,richness_2,3
2,35.109,8.45980044237968,8.094816663098147,77.58409524623315,2,27,12,20,4,2.979661016949153,14598.6,3064.26,14588.6,richness_3,4
2,35.109,8.45980044237968,8.094816663098147,77.58409524623315,2,27,12,20,4,2.979661016949153,14598.6,3064.26,14588.6,richness_4,7
14,3.5340000000000003,5.183486514459391,5.126807703142035,96.03848330503678,2,12,7,12,3.8,3.0161290322580645,6428.49,2151.46,8041.73,richness_2,3
14,3.5340000000000003,5.183486514459391,5.126807703142035,96.03848330503678,2,12,7,12,3.8,3.0161290322580645,6428.49,2151.46,8041.73,richness_3,4
14,3.5340000000000003,5.183486514459391,5.126807703142035,96.03848330503678,2,12,7,12,3.8,3.0161290322580645,6428.49,2151.46,8041.73,richness_4,4
117,3.68,5.24031432933371,2.963474123974886,18.47826086956522,0,0,12,4,3.9,3.3125,0,8923.46,3185.01,richness_2,0
117,3.68,5.24031432933371,2.963474123974886,18.47826086956522,0,0,12,4,3.9,3.3125,0,8923.46,3185.01,richness_3,7
117,3.68,5.24031432933371,2.963474123974886,18.47826086956522,0,0,12,4,3.9,3.3125,0,8923.46,3185.01,richness_4,4
144,1.87,4.300123724569014,2.292781749227846,20.855614973262032,0,0,228,10,4,3.143697478991597,0,99616.3,8066.44,richness_2,0
144,1.87,4.300123724569014,2.292781749227846,20.855614973262032,0,0,228,10,4,3.143697478991597,0,99616.3,8066.44,richness_3,8
144,1.87,4.300123724569014,2.292781749227846,20.855614973262032,0,0,228,10,4,3.143697478991597,0,99616.3,8066.44,richness_4,4
170,2.351,4.615298579092115,2.7527485914071335,24.415142492556356,0,20,170,6,4,2.7127551020408167,15196.94,121910.4,2562,richness_2,5
170,2.351,4.615298579092115,2.7527485914071335,24.415142492556356,0,20,170,6,4,2.7127551020408167,15196.94,121910.4,2562,richness_3,1
170,2.351,4.615298579092115,2.7527485914071335,24.415142492556356,0,20,170,6,4,2.7127551020408167,15196.94,121910.4,2562,richness_4,1
78,5.622,5.838447592548458,4.3377110921282895,34.187122020633225,1,16,8,17,4,3.1487804878048777,11447.74,3613.63,11969.89,richness_2,3
78,5.622,5.838447592548458,4.3377110921282895,34.187122020633225,1,16,8,17,4,3.1487804878048777,11447.74,3613.63,11969.89,richness_3,6
78,5.622,5.838447592548458,4.3377110921282895,34.187122020633225,1,16,8,17,4,3.1487804878048777,11447.74,3613.63,11969.89,richness_4,5
412,2.03,4.412781525338476,2.7865963618908065,29.064039408867,0,0,29,2,3.5,3.0516129032258066,0,9391.39,332.24,richness_2,0
412,2.03,4.412781525338476,2.7865963618908065,29.064039408867,0,0,29,2,3.5,3.0516129032258066,0,9391.39,332.24,richness_3,12
412,2.03,4.412781525338476,2.7865963618908065,29.064039408867,0,0,29,2,3.5,3.0516129032258066,0,9391.39,332.24,richness_4,1
421,4.83,5.623515741490549,3.4489009511451276,20.538302277432713,0,15,7,10,4,2.990625,39150,1370.99,5323.0599999999995,richness_2,1
421,4.83,5.623515741490549,3.4489009511451276,20.538302277432713,0,15,7,10,4,2.990625,39150,1370.99,5323.0599999999995,richness_3,3
421,4.83,5.623515741490549,3.4489009511451276,20.538302277432713,0,15,7,10,4,2.990625,39150,1370.99,5323.0599999999995,richness_4,2
429,2.136,4.482848283068465,2.937344392150232,31.179775280898873,1,0,50,5,4,2.892727272727273,0,25519.39,1831.23,richness_2,0
429,2.136,4.482848283068465,2.937344392150232,31.179775280898873,1,0,50,5,4,2.892727272727273,0,25519.39,1831.23,richness_3,4
429,2.136,4.482848283068465,2.937344392150232,31.179775280898873,1,0,50,5,4,2.892727272727273,0,25519.39,1831.23,richness_4,3
382,3.02,4.963474123974886,4.185866545311334,56.95364238410596,1,16,147,8,4,3.0122807017543862,5470.24,51760.45,8209.62,richness_2,1
382,3.02,4.963474123974886,4.185866545311334,56.95364238410596,1,16,147,8,4,3.0122807017543862,5470.24,51760.45,8209.62,richness_3,14
382,3.02,4.963474123974886,4.185866545311334,56.95364238410596,1,16,147,8,4,3.0122807017543862,5470.24,51760.45,8209.62,richness_4,5
423,0.5720000000000001,2.748461233004036,2.3132458517875616,69.4055944055944,1,15,26,1,3.8,2.7452380952380953,14999.4,5265,84.37,richness_2,1
423,0.5720000000000001,2.748461233004036,2.3132458517875616,69.4055944055944,1,15,26,1,3.8,2.7452380952380953,14999.4,5265,84.37,richness_3,9
423,0.5720000000000001,2.748461233004036,2.3132458517875616,69.4055944055944,1,15,26,1,3.8,2.7452380952380953,14999.4,5265,84.37,richness_4,1
163,3.86,5.307428525192248,3.5969351423872324,28.756476683937827,0,0,9,10,4,3.384210526315789,0,3106.61,7743.91,richness_2,0
163,3.86,5.307428525192248,3.5969351423872324,28.756476683937827,0,0,9,10,4,3.384210526315789,0,3106.61,7743.91,richness_3,4
163,3.86,5.307428525192248,3.5969351423872324,28.756476683937827,0,0,9,10,4,3.384210526315789,0,3106.61,7743.91,richness_4,9
194,4.052,5.375734538583156,3.526068811667588,25.962487660414613,0,37,4,3,4,2.4499999999999997,76119.12,881.63,1918.48,richness_2,3
194,4.052,5.375734538583156,3.526068811667588,25.962487660414613,0,37,4,3,4,2.4499999999999997,76119.12,881.63,1918.48,richness_3,3
194,4.052,5.375734538583156,3.526068811667588,25.962487660414613,0,37,4,3,4,2.4499999999999997,76119.12,881.63,1918.48,richness_4,2
219,1.41,3.916476644437717,1.8875252707415875,19.148936170212767,0,0,15,5,3.7,3.145,0,3682,446.48,richness_2,0
219,1.41,3.916476644437717,1.8875252707415875,19.148936170212767,0,0,15,5,3.7,3.145,0,3682,446.48,richness_3,5
219,1.41,3.916476644437717,1.8875252707415875,19.148936170212767,0,0,15,5,3.7,3.145,0,3682,446.48,richness_4,3
291,1.064,3.541019153133559,2.250961573533219,35.338345864661655,1,0,29,5,4,3.1058823529411765,0,9770.08,1615.29,richness_2,0
291,1.064,3.541019153133559,2.250961573533219,35.338345864661655,1,0,29,5,4,3.1058823529411765,0,9770.08,1615.29,richness_3,6
291,1.064,3.541019153133559,2.250961573533219,35.338345864661655,1,0,29,5,4,3.1058823529411765,0,9770.08,1615.29,richness_4,5
292,0.159,1.372952097911829,1.372952097911829,100,2,0,7,1,3.5999999999999996,3.15,0,3337,871.33,richness_2,0
292,0.159,1.372952097911829,1.372952097911829,100,2,0,7,1,3.5999999999999996,3.15,0,3337,871.33,richness_3,2
292,0.159,1.372952097911829,1.372952097911829,100,2,0,7,1,3.5999999999999996,3.15,0,3337,871.33,richness_4,1
221,4.314,5.46401472450489,3.871843648509318,31.617987946221604,1,4,15,6,3.9,3.0840000000000005,3095.52,3220.67,11271.759999999998,richness_2,1
221,4.314,5.46401472450489,3.871843648509318,31.617987946221604,1,4,15,6,3.9,3.0840000000000005,3095.52,3220.67,11271.759999999998,richness_3,6
221,4.314,5.46401472450489,3.871843648509318,31.617987946221604,1,4,15,6,3.9,3.0840000000000005,3095.52,3220.67,11271.759999999998,richness_4,3
280,3.7,5.247927513443585,3.6322682154995127,30.810810810810807,1,0,29,4,4,3.1303030303030304,0,8193.97,4602.15,richness_2,0
280,3.7,5.247927513443585,3.6322682154995127,30.810810810810807,1,0,29,4,4,3.1303030303030304,0,8193.97,4602.15,richness_3,7
280,3.7,5.247927513443585,3.6322682154995127,30.810810810810807,1,0,29,4,4,3.1303030303030304,0,8193.97,4602.15,richness_4,4
285,4.08,5.38543103719352,4.722466024471091,62.25490196078432,1,6,14,7,4,3,4622.76,5206.69,4287.4,richness_2,3
285,4.08,5.38543103719352,4.722466024471091,62.25490196078432,1,6,14,7,4,3,4622.76,5206.69,4287.4,richness_3,5
285,4.08,5.38543103719352,4.722466024471091,62.25490196078432,1,6,14,7,4,3,4622.76,5206.69,4287.4,richness_4,3
198,7.83,6.309248960816616,5.491853096329675,56.1941251596424,1,249,227,5,4,2.5384615384615383,325792.27,157766.77,2856.66,richness_2,5
198,7.83,6.309248960816616,5.491853096329675,56.1941251596424,1,249,227,5,4,2.5384615384615383,325792.27,157766.77,2856.66,richness_3,4
198,7.83,6.309248960816616,5.491853096329675,56.1941251596424,1,249,227,5,4,2.5384615384615383,325792.27,157766.77,2856.66,richness_4,4
306,37.13,8.540321805964151,4.357552004618084,5.251817936978184,0,17,34,12,4,2.9571428571428573,16154.36,10662.77,4703.84,richness_2,2
306,37.13,8.540321805964151,4.357552004618084,5.251817936978184,0,17,34,12,4,2.9571428571428573,16154.36,10662.77,4703.84,richness_3,9
306,37.13,8.540321805964151,4.357552004618084,5.251817936978184,0,17,34,12,4,2.9571428571428573,16154.36,10662.77,4703.84,richness_4,6
105,3.405,5.131342539123261,2.6205864104518777,15.124816446402347,0,0,14,3,3.8,3.152941176470588,0,2133,334.86,richness_2,0
